feature,type,mutable,min,max,dyn_min,dyn_max
bytes_in_min_s_3,int,False,0.0,0.0,False,False
bytes_in_max_s_3,int,False,0.0,0.0,False,False
bytes_out_sum_s_3,int,True,0.0,10272.0,True,False
bytes_out_min_s_3,int,True,0.0,6328.0,True,False
bytes_out_max_s_3,int,True,0.0,10272.0,True,False
pkts_in_sum_s_3,int,False,0.0,0.0,False,False
pkts_in_min_s_3,int,False,0.0,0.0,False,False
pkts_in_max_s_3,int,False,0.0,0.0,False,False
pkts_out_sum_s_3,int,True,0.0,170.0,True,False
pkts_out_min_s_3,int,True,0.0,113.0,True,False
pkts_out_max_s_3,int,True,0.0,169.0,True,False
duration_sum_s_3,real,True,0.0,1316.0,True,False
duration_min_s_3,real,True,0.0,1169.0,True,False
duration_max_s_3,real,True,0.0,1169.0,True,False
tcp_sum_s_3,int,True,0.0,0.0,True,False
udp_sum_s_3,int,True,0.0,0.0,True,False
icmp_sum_s_3,int,True,0.0,10272.0,True,False
distinct_external_ips_s_3,int,False,0.0,47.0,False,False
distinct_src_port_s_3,int,False,0.0,1.0,False,False
distinct_dst_port_s_3,int,False,0.0,1.0,False,False
bytes_in_sum_d_3,int,False,0.0,0.0,False,False
bytes_in_min_d_3,int,False,0.0,0.0,False,False
bytes_in_max_d_3,int,False,0.0,0.0,False,False
bytes_out_sum_d_3,int,True,0.0,51185.0,True,False
bytes_out_min_d_3,int,True,0.0,18760.0,True,False
bytes_out_max_d_3,int,True,0.0,50312.0,True,False
pkts_in_sum_d_3,int,False,0.0,0.0,False,False
pkts_in_min_d_3,int,False,0.0,0.0,False,False
pkts_in_max_d_3,int,False,0.0,0.0,False,False
pkts_out_sum_d_3,int,True,0.0,670.0,True,False
pkts_out_min_d_3,int,True,0.0,670.0,True,False
pkts_out_max_d_3,int,True,0.0,670.0,True,False
duration_sum_d_3,real,True,0.0,2702.0,True,False
duration_min_d_3,real,True,0.0,511.0,True,False
duration_max_d_3,real,True,0.0,2690.0,True,False
tcp_sum_d_3,int,True,0.0,0.0,True,False
udp_sum_d_3,int,True,0.0,0.0,True,False
icmp_sum_d_3,int,True,0.0,51185.0,True,False
distinct_external_ips_d_3,int,False,0.0,34.0,False,False
distinct_src_port_d_3,int,False,0.0,1.0,False,False
distinct_dst_port_d_3,int,False,0.0,1.0,False,False
bytes_in_sum_s_8,int,False,0.0,0.0,False,False
bytes_in_min_s_8,int,False,0.0,0.0,False,False
bytes_in_max_s_8,int,False,0.0,0.0,False,False
bytes_out_sum_s_8,int,True,0.0,320.0,True,False
bytes_out_min_s_8,int,True,0.0,320.0,True,False
bytes_out_max_s_8,int,True,0.0,320.0,True,False
pkts_in_sum_s_8,int,False,0.0,0.0,False,False
pkts_in_min_s_8,int,False,0.0,0.0,False,False
pkts_in_max_s_8,int,False,0.0,0.0,False,False
pkts_out_sum_s_8,int,True,0.0,5.0,True,False
pkts_out_min_s_8,int,True,0.0,5.0,True,False
pkts_out_max_s_8,int,True,0.0,5.0,True,False
duration_sum_s_8,real,True,0.0,2.0,True,False
duration_min_s_8,real,True,0.0,2.0,True,False
duration_max_s_8,int,True,0.0,2.0,True,False
tcp_sum_s_8,int,True,0.0,0.0,True,False
udp_sum_s_8,int,True,0.0,0.0,True,False
icmp_sum_s_8,int,True,0.0,320.0,True,False
distinct_external_ips_s_8,int,False,0.0,1.0,False,False
distinct_src_port_s_8,int,False,0.0,1.0,False,False
distinct_dst_port_s_8,int,False,0.0,1.0,False,False
bytes_in_sum_d_8,int,False,0.0,0.0,False,False
bytes_in_min_d_8,int,False,0.0,0.0,False,False
bytes_in_max_d_8,int,False,0.0,0.0,False,False
bytes_out_sum_d_8,int,True,0.0,0.0,True,False
bytes_out_min_d_8,int,True,0.0,0.0,True,False
bytes_out_max_d_8,int,True,0.0,0.0,True,False
pkts_in_sum_d_8,int,False,0.0,0.0,False,False
pkts_in_min_d_8,int,False,0.0,0.0,False,False
pkts_in_max_d_8,int,False,0.0,0.0,False,False
pkts_out_sum_d_8,int,True,0.0,0.0,True,False
pkts_out_min_d_8,int,True,0.0,0.0,True,False
pkts_out_max_d_8,int,True,0.0,0.0,True,False
duration_sum_d_8,int,True,0.0,0.0,True,False
duration_min_d_8,int,True,0.0,0.0,True,False
duration_max_d_8,int,True,0.0,0.0,True,False
tcp_sum_d_8,int,True,0.0,0.0,True,False
udp_sum_d_8,int,True,0.0,0.0,True,False
icmp_sum_d_8,int,True,0.0,0.0,True,False
distinct_external_ips_d_8,int,False,0.0,0.0,False,False
distinct_src_port_d_8,int,False,0.0,0.0,False,False
distinct_dst_port_d_8,int,False,0.0,0.0,False,False
bytes_in_sum_s_10,int,False,0.0,287.0,False,False
bytes_in_min_s_10,int,False,0.0,287.0,False,False
bytes_in_max_s_10,int,False,0.0,287.0,False,False
bytes_out_sum_s_10,int,True,0.0,5376.0,True,False
bytes_out_min_s_10,int,True,0.0,5376.0,True,False
bytes_out_max_s_10,int,True,0.0,5376.0,True,False
pkts_in_sum_s_10,int,False,0.0,1.0,False,False
pkts_in_min_s_10,int,False,0.0,1.0,False,False
pkts_in_max_s_10,int,False,0.0,1.0,False,False
pkts_out_sum_s_10,int,True,0.0,112.0,True,False
pkts_out_min_s_10,int,True,0.0,112.0,True,False
pkts_out_max_s_10,int,True,0.0,112.0,True,False
duration_sum_s_10,real,True,0.0,1095.0,True,False
duration_min_s_10,real,True,0.0,1095.0,True,False
duration_max_s_10,real,True,0.0,1095.0,True,False
tcp_sum_s_10,int,True,0.0,0.0,True,False
udp_sum_s_10,int,True,0.0,390.0,True,False
icmp_sum_s_10,int,True,0.0,5376.0,True,False
distinct_external_ips_s_10,int,False,0.0,11.0,False,False
distinct_src_port_s_10,int,False,0.0,1.0,False,False
distinct_dst_port_s_10,int,False,0.0,1.0,False,False
bytes_in_sum_d_10,int,False,0.0,0.0,False,False
bytes_in_min_d_10,int,False,0.0,0.0,False,False
bytes_in_max_d_10,int,False,0.0,0.0,False,False
bytes_out_sum_d_10,int,True,0.0,1769.0,True,False
bytes_out_min_d_10,int,True,0.0,1769.0,True,False
bytes_out_max_d_10,int,True,0.0,1769.0,True,False
pkts_in_sum_d_10,int,False,0.0,0.0,False,False
pkts_in_min_d_10,int,False,0.0,0.0,False,False
pkts_in_max_d_10,int,False,0.0,0.0,False,False
pkts_out_sum_d_10,int,True,0.0,29.0,True,False
pkts_out_min_d_10,int,True,0.0,29.0,True,False
pkts_out_max_d_10,int,True,0.0,29.0,True,False
duration_sum_d_10,real,True,0.0,205.0,True,False
duration_min_d_10,real,True,0.0,205.0,True,False
duration_max_d_10,real,True,0.0,205.0,True,False
tcp_sum_d_10,int,True,0.0,0.0,True,False
udp_sum_d_10,int,True,0.0,0.0,True,False
icmp_sum_d_10,int,True,0.0,1769.0,True,False
distinct_external_ips_d_10,int,False,0.0,3.0,False,False
distinct_src_port_d_10,int,False,0.0,1.0,False,False
distinct_dst_port_d_10,int,False,0.0,1.0,False,False
bytes_in_sum_s_21,int,False,0.0,13093.0,False,False
bytes_in_min_s_21,int,False,0.0,2918.0,False,False
bytes_in_max_s_21,int,False,0.0,2918.0,False,False
bytes_out_sum_s_21,int,True,0.0,1370.0,True,False
bytes_out_min_s_21,int,True,0.0,963.0,True,False
bytes_out_max_s_21,int,True,0.0,963.0,True,False
pkts_in_sum_s_21,int,False,0.0,647.0,False,False
pkts_in_min_s_21,int,False,0.0,60.0,False,False
pkts_in_max_s_21,int,False,0.0,124.0,False,False
pkts_out_sum_s_21,int,True,0.0,665.0,True,False
pkts_out_min_s_21,int,True,0.0,62.0,True,False
pkts_out_max_s_21,int,True,0.0,126.0,True,False
duration_sum_s_21,real,True,0.0,24811.0,True,False
duration_min_s_21,real,True,0.0,3403.0,True,False
duration_max_s_21,real,True,0.0,4970.0,True,False
tcp_sum_s_21,int,True,0.0,14463.0,True,False
udp_sum_s_21,int,True,0.0,0.0,True,False
icmp_sum_s_21,int,True,0.0,0.0,True,False
distinct_external_ips_s_21,int,False,0.0,1.0,False,False
distinct_src_port_s_21,int,False,0.0,8.0,False,False
distinct_dst_port_s_21,int,False,0.0,1.0,False,False
bytes_in_sum_d_21,int,False,0.0,2074.0,False,False
bytes_in_min_d_21,int,False,0.0,2074.0,False,False
bytes_in_max_d_21,int,False,0.0,2074.0,False,False
bytes_out_sum_d_21,int,True,0.0,2415.0,True,False
bytes_out_min_d_21,int,True,0.0,2415.0,True,False
bytes_out_max_d_21,int,True,0.0,2415.0,True,False
pkts_in_sum_d_21,int,False,0.0,66.0,False,False
pkts_in_min_d_21,int,False,0.0,66.0,False,False
pkts_in_max_d_21,int,False,0.0,66.0,False,False
pkts_out_sum_d_21,int,True,0.0,69.0,True,False
pkts_out_min_d_21,int,True,0.0,65.0,True,False
pkts_out_max_d_21,int,True,0.0,65.0,True,False
duration_sum_d_21,real,True,0.0,949.0,True,False
duration_min_d_21,real,True,0.0,949.0,True,False
duration_max_d_21,real,True,0.0,949.0,True,False
tcp_sum_d_21,int,True,0.0,4489.0,True,False
udp_sum_d_21,int,True,0.0,0.0,True,False
icmp_sum_d_21,int,True,0.0,0.0,True,False
distinct_external_ips_d_21,int,False,0.0,2.0,False,False
distinct_src_port_d_21,int,False,0.0,13.0,False,False
distinct_dst_port_d_21,int,False,0.0,1.0,False,False
bytes_in_sum_s_22,int,False,0.0,5504688.0,False,False
bytes_in_min_s_22,int,False,0.0,5504688.0,False,False
bytes_in_max_s_22,int,False,0.0,5504688.0,False,False
bytes_out_sum_s_22,int,True,0.0,36416071.0,True,False
bytes_out_min_s_22,int,True,0.0,36416071.0,True,False
bytes_out_max_s_22,int,True,0.0,36416071.0,True,False
pkts_in_sum_s_22,int,False,0.0,112871.0,False,False
pkts_in_min_s_22,int,False,0.0,112871.0,False,False
pkts_in_max_s_22,int,False,0.0,112871.0,False,False
pkts_out_sum_s_22,int,True,0.0,97183.0,True,False
pkts_out_min_s_22,int,True,0.0,97183.0,True,False
pkts_out_max_s_22,int,True,0.0,97183.0,True,False
duration_sum_s_22,real,True,0.0,21982.0,True,False
duration_min_s_22,real,True,0.0,21982.0,True,False
duration_max_s_22,real,True,0.0,21982.0,True,False
tcp_sum_s_22,int,True,0.0,36432973.0,True,False
udp_sum_s_22,int,True,0.0,0.0,True,False
icmp_sum_s_22,int,True,0.0,0.0,True,False
distinct_external_ips_s_22,int,False,0.0,1.0,False,False
distinct_src_port_s_22,int,False,0.0,4.0,False,False
distinct_dst_port_s_22,int,False,0.0,1.0,False,False
bytes_in_sum_d_22,int,False,0.0,288089872.0,False,False
bytes_in_min_d_22,int,False,0.0,288089872.0,False,False
bytes_in_max_d_22,int,False,0.0,288089872.0,False,False
bytes_out_sum_d_22,int,True,0.0,9964136.0,True,False
bytes_out_min_d_22,int,True,0.0,2650380.0,True,False
bytes_out_max_d_22,int,True,0.0,9839688.0,True,False
pkts_in_sum_d_22,int,False,0.0,205248.0,False,False
pkts_in_min_d_22,int,False,0.0,205248.0,False,False
pkts_in_max_d_22,int,False,0.0,205248.0,False,False
pkts_out_sum_d_22,int,True,0.0,114041.0,True,False
pkts_out_min_d_22,int,True,0.0,114041.0,True,False
pkts_out_max_d_22,int,True,0.0,114041.0,True,False
duration_sum_d_22,real,True,0.0,33113.0,True,False
duration_min_d_22,real,True,0.0,21964.0,True,False
duration_max_d_22,real,True,0.0,22032.0,True,False
tcp_sum_d_22,int,True,0.0,288977872.0,True,False
udp_sum_d_22,int,True,0.0,0.0,True,False
icmp_sum_d_22,int,True,0.0,0.0,True,False
distinct_external_ips_d_22,int,False,0.0,2.0,False,False
distinct_src_port_d_22,int,False,0.0,54.0,False,False
distinct_dst_port_d_22,int,False,0.0,1.0,False,False
bytes_in_sum_s_25,int,False,0.0,0.0,False,False
bytes_in_min_s_25,int,False,0.0,0.0,False,False
bytes_in_max_s_25,int,False,0.0,0.0,False,False
bytes_out_sum_s_25,int,True,0.0,0.0,True,False
bytes_out_min_s_25,int,True,0.0,0.0,True,False
bytes_out_max_s_25,int,True,0.0,0.0,True,False
pkts_in_sum_s_25,int,False,0.0,1.0,False,False
pkts_in_min_s_25,int,False,0.0,1.0,False,False
pkts_in_max_s_25,int,False,0.0,1.0,False,False
pkts_out_sum_s_25,int,True,0.0,85.0,True,False
pkts_out_min_s_25,int,True,0.0,2.0,True,False
pkts_out_max_s_25,int,True,0.0,2.0,True,False
duration_sum_s_25,real,True,0.0,94.0,True,False
duration_min_s_25,real,True,0.0,4.0,True,False
duration_max_s_25,real,True,0.0,5.0,True,False
tcp_sum_s_25,int,True,0.0,0.0,True,False
udp_sum_s_25,int,True,0.0,0.0,True,False
icmp_sum_s_25,int,True,0.0,0.0,True,False
distinct_external_ips_s_25,int,False,0.0,23.0,False,False
distinct_src_port_s_25,int,False,0.0,36.0,False,False
distinct_dst_port_s_25,int,False,0.0,1.0,False,False
bytes_in_sum_d_25,int,False,0.0,0.0,False,False
bytes_in_min_d_25,int,False,0.0,0.0,False,False
bytes_in_max_d_25,int,False,0.0,0.0,False,False
bytes_out_sum_d_25,int,True,0.0,0.0,True,False
bytes_out_min_d_25,int,True,0.0,0.0,True,False
bytes_out_max_d_25,int,True,0.0,0.0,True,False
pkts_in_sum_d_25,int,False,0.0,12.0,False,False
pkts_in_min_d_25,int,False,0.0,12.0,False,False
pkts_in_max_d_25,int,False,0.0,12.0,False,False
pkts_out_sum_d_25,int,True,0.0,0.0,True,False
pkts_out_min_d_25,int,True,0.0,0.0,True,False
pkts_out_max_d_25,int,True,0.0,0.0,True,False
duration_sum_d_25,int,True,0.0,36.0,True,False
duration_min_d_25,int,True,0.0,36.0,True,False
duration_max_d_25,int,True,0.0,36.0,True,False
tcp_sum_d_25,int,True,0.0,0.0,True,False
udp_sum_d_25,int,True,0.0,0.0,True,False
icmp_sum_d_25,int,True,0.0,0.0,True,False
distinct_external_ips_d_25,int,False,0.0,1.0,False,False
distinct_src_port_d_25,int,False,0.0,1.0,False,False
distinct_dst_port_d_25,int,False,0.0,1.0,False,False
bytes_in_sum_s_53,int,False,0.0,169936.0,False,False
bytes_in_min_s_53,int,False,0.0,274.0,False,False
bytes_in_max_s_53,int,False,0.0,10542.0,False,False
bytes_out_sum_s_53,int,True,0.0,31727.0,True,False
bytes_out_min_s_53,int,True,0.0,220.0,True,False
bytes_out_max_s_53,int,True,0.0,6673.0,True,False
pkts_in_sum_s_53,int,False,0.0,946.0,False,False
pkts_in_min_s_53,int,False,0.0,3.0,False,False
pkts_in_max_s_53,int,False,0.0,46.0,False,False
pkts_out_sum_s_53,int,True,0.0,1031.0,True,False
pkts_out_min_s_53,int,True,0.0,5.0,True,False
pkts_out_max_s_53,int,True,0.0,221.0,True,False
duration_sum_s_53,real,True,0.0,909.0,True,False
duration_min_s_53,real,True,0.0,17.0,True,False
duration_max_s_53,real,True,0.0,473.0,True,False
tcp_sum_s_53,int,True,0.0,0.0,True,False
udp_sum_s_53,int,True,0.0,201663.0,True,False
icmp_sum_s_53,int,True,0.0,0.0,True,False
distinct_external_ips_s_53,int,False,0.0,272.0,False,False
distinct_src_port_s_53,int,False,0.0,213.0,False,False
distinct_dst_port_s_53,int,False,0.0,1.0,False,False
bytes_in_sum_d_53,int,False,0.0,4435.0,False,False
bytes_in_min_d_53,int,False,0.0,1805.0,False,False
bytes_in_max_d_53,int,False,0.0,1805.0,False,False
bytes_out_sum_d_53,int,True,0.0,255.0,True,False
bytes_out_min_d_53,int,True,0.0,255.0,True,False
bytes_out_max_d_53,int,True,0.0,255.0,True,False
pkts_in_sum_d_53,int,False,0.0,46.0,False,False
pkts_in_min_d_53,int,False,0.0,5.0,False,False
pkts_in_max_d_53,int,False,0.0,5.0,False,False
pkts_out_sum_d_53,int,True,0.0,5.0,True,False
pkts_out_min_d_53,int,True,0.0,5.0,True,False
pkts_out_max_d_53,int,True,0.0,5.0,True,False
duration_sum_d_53,real,True,0.0,141.0,True,False
duration_min_d_53,real,True,0.0,14.0,True,False
duration_max_d_53,real,True,0.0,15.0,True,False
tcp_sum_d_53,int,True,0.0,0.0,True,False
udp_sum_d_53,int,True,0.0,4435.0,True,False
icmp_sum_d_53,int,True,0.0,0.0,True,False
distinct_external_ips_d_53,int,False,0.0,1.0,False,False
distinct_src_port_d_53,int,False,0.0,29.0,False,False
distinct_dst_port_d_53,int,False,0.0,1.0,False,False
bytes_in_sum_s_80,int,False,0.0,4277426661.0,False,False
bytes_in_min_s_80,int,False,0.0,450243362.0,False,False
bytes_in_max_s_80,int,False,0.0,4276001650.0,False,False
bytes_out_sum_s_80,int,True,0.0,1999271276.0,True,False
bytes_out_min_s_80,int,True,0.0,1999271276.0,True,False
bytes_out_max_s_80,int,True,0.0,1999271276.0,True,False
pkts_in_sum_s_80,int,False,0.0,730585.0,False,False
pkts_in_min_s_80,int,False,0.0,522572.0,False,False
pkts_in_max_s_80,int,False,0.0,574569.0,False,False
pkts_out_sum_s_80,int,True,0.0,405463.0,True,False
pkts_out_min_s_80,int,True,0.0,291268.0,True,False
pkts_out_max_s_80,int,True,0.0,308941.0,True,False
duration_sum_s_80,real,True,0.0,105751.0,True,False
duration_min_s_80,real,True,0.0,21976.0,True,False
duration_max_s_80,real,True,0.0,21976.0,True,False
tcp_sum_s_80,int,True,0.0,4277608069.0,True,False
udp_sum_s_80,int,True,0.0,5129.0,True,False
icmp_sum_s_80,int,True,0.0,0.0,True,False
distinct_external_ips_s_80,int,False,0.0,178.0,False,False
distinct_src_port_s_80,int,False,0.0,925.0,False,False
distinct_dst_port_s_80,int,False,0.0,1.0,False,False
bytes_in_sum_d_80,int,False,0.0,10691181708.0,False,False
bytes_in_min_d_80,int,False,0.0,561398137.0,False,False
bytes_in_max_d_80,int,False,0.0,10691181708.0,False,False
bytes_out_sum_d_80,int,True,0.0,1949649056.0,True,False
bytes_out_min_d_80,int,True,0.0,364132.0,True,False
bytes_out_max_d_80,int,True,0.0,1949648324.0,True,False
pkts_in_sum_d_80,int,False,0.0,1312538.0,False,False
pkts_in_min_d_80,int,False,0.0,456537.0,False,False
pkts_in_max_d_80,int,False,0.0,456537.0,False,False
pkts_out_sum_d_80,int,True,0.0,380498.0,True,False
pkts_out_min_d_80,int,True,0.0,254178.0,True,False
pkts_out_max_d_80,int,True,0.0,254178.0,True,False
duration_sum_d_80,real,True,0.0,146718.0,True,False
duration_min_d_80,real,True,0.0,21801.0,True,False
duration_max_d_80,real,True,0.0,22016.0,True,False
tcp_sum_d_80,int,True,0.0,10691181743.0,True,False
udp_sum_d_80,int,True,0.0,0.0,True,False
icmp_sum_d_80,int,True,0.0,0.0,True,False
distinct_external_ips_d_80,int,False,0.0,29.0,False,False
distinct_src_port_d_80,int,False,0.0,94.0,False,False
distinct_dst_port_d_80,int,False,0.0,1.0,False,False
bytes_in_sum_s_110,int,False,0.0,635850.0,False,False
bytes_in_min_s_110,int,False,0.0,401065.0,False,False
bytes_in_max_s_110,int,False,0.0,634521.0,False,False
bytes_out_sum_s_110,int,True,0.0,4828.0,True,False
bytes_out_min_s_110,int,True,0.0,907.0,True,False
bytes_out_max_s_110,int,True,0.0,3351.0,True,False
pkts_in_sum_s_110,int,False,0.0,859.0,False,False
pkts_in_min_s_110,int,False,0.0,619.0,False,False
pkts_in_max_s_110,int,False,0.0,630.0,False,False
pkts_out_sum_s_110,int,True,0.0,432.0,True,False
pkts_out_min_s_110,int,True,0.0,208.0,True,False
pkts_out_max_s_110,int,True,0.0,421.0,True,False
duration_sum_s_110,real,True,0.0,91.0,True,False
duration_min_s_110,real,True,0.0,91.0,True,False
duration_max_s_110,real,True,0.0,91.0,True,False
tcp_sum_s_110,int,True,0.0,637557.0,True,False
udp_sum_s_110,int,True,0.0,38.0,True,False
icmp_sum_s_110,int,True,0.0,0.0,True,False
distinct_external_ips_s_110,int,False,0.0,4.0,False,False
distinct_src_port_s_110,int,False,0.0,6.0,False,False
distinct_dst_port_s_110,int,False,0.0,1.0,False,False
bytes_in_sum_d_110,int,False,0.0,16510537.0,False,False
bytes_in_min_d_110,int,False,0.0,16510537.0,False,False
bytes_in_max_d_110,int,False,0.0,16510537.0,False,False
bytes_out_sum_d_110,int,True,0.0,4044.0,True,False
bytes_out_min_d_110,int,True,0.0,4044.0,True,False
bytes_out_max_d_110,int,True,0.0,4044.0,True,False
pkts_in_sum_d_110,int,False,0.0,12144.0,False,False
pkts_in_min_d_110,int,False,0.0,12144.0,False,False
pkts_in_max_d_110,int,False,0.0,12144.0,False,False
pkts_out_sum_d_110,int,True,0.0,6506.0,True,False
pkts_out_min_d_110,int,True,0.0,6506.0,True,False
pkts_out_max_d_110,int,True,0.0,6506.0,True,False
duration_sum_d_110,real,True,0.0,1159.0,True,False
duration_min_d_110,real,True,0.0,1091.0,True,False
duration_max_d_110,real,True,0.0,1159.0,True,False
tcp_sum_d_110,int,True,0.0,16514581.0,True,False
udp_sum_d_110,int,True,0.0,0.0,True,False
icmp_sum_d_110,int,True,0.0,0.0,True,False
distinct_external_ips_d_110,int,False,0.0,2.0,False,False
distinct_src_port_d_110,int,False,0.0,2.0,False,False
distinct_dst_port_d_110,int,False,0.0,1.0,False,False
bytes_in_sum_s_123,int,False,0.0,66000.0,False,False
bytes_in_min_s_123,int,False,0.0,33024.0,False,False
bytes_in_max_s_123,int,False,0.0,33024.0,False,False
bytes_out_sum_s_123,int,True,0.0,66000.0,True,False
bytes_out_min_s_123,int,True,0.0,33024.0,True,False
bytes_out_max_s_123,int,True,0.0,33024.0,True,False
pkts_in_sum_s_123,int,False,0.0,1375.0,False,False
pkts_in_min_s_123,int,False,0.0,688.0,False,False
pkts_in_max_s_123,int,False,0.0,688.0,False,False
pkts_out_sum_s_123,int,True,0.0,1375.0,True,False
pkts_out_min_s_123,int,True,0.0,688.0,True,False
pkts_out_max_s_123,int,True,0.0,688.0,True,False
duration_sum_s_123,real,True,0.0,43993.0,True,False
duration_min_s_123,real,True,0.0,22019.0,True,False
duration_max_s_123,real,True,0.0,22019.0,True,False
tcp_sum_s_123,int,True,0.0,0.0,True,False
udp_sum_s_123,int,True,0.0,132000.0,True,False
icmp_sum_s_123,int,True,0.0,0.0,True,False
distinct_external_ips_s_123,int,False,0.0,17.0,False,False
distinct_src_port_s_123,int,False,0.0,7.0,False,False
distinct_dst_port_s_123,int,False,0.0,1.0,False,False
bytes_in_sum_d_123,int,False,0.0,48.0,False,False
bytes_in_min_d_123,int,False,0.0,48.0,False,False
bytes_in_max_d_123,int,False,0.0,48.0,False,False
bytes_out_sum_d_123,int,True,0.0,136.0,True,False
bytes_out_min_d_123,int,True,0.0,136.0,True,False
bytes_out_max_d_123,int,True,0.0,136.0,True,False
pkts_in_sum_d_123,int,False,0.0,1.0,False,False
pkts_in_min_d_123,int,False,0.0,1.0,False,False
pkts_in_max_d_123,int,False,0.0,1.0,False,False
pkts_out_sum_d_123,int,True,0.0,2.0,True,False
pkts_out_min_d_123,int,True,0.0,2.0,True,False
pkts_out_max_d_123,int,True,0.0,2.0,True,False
duration_sum_d_123,real,True,0.0,33.0,True,False
duration_min_d_123,real,True,0.0,33.0,True,False
duration_max_d_123,real,True,0.0,33.0,True,False
tcp_sum_d_123,int,True,0.0,0.0,True,False
udp_sum_d_123,int,True,0.0,136.0,True,False
icmp_sum_d_123,int,True,0.0,0.0,True,False
distinct_external_ips_d_123,int,False,0.0,1.0,False,False
distinct_src_port_d_123,int,False,0.0,1.0,False,False
distinct_dst_port_d_123,int,False,0.0,1.0,False,False
bytes_in_sum_s_135,int,False,0.0,0.0,False,False
bytes_in_min_s_135,int,False,0.0,0.0,False,False
bytes_in_max_s_135,int,False,0.0,0.0,False,False
bytes_out_sum_s_135,int,True,0.0,0.0,True,False
bytes_out_min_s_135,int,True,0.0,0.0,True,False
bytes_out_max_s_135,int,True,0.0,0.0,True,False
pkts_in_sum_s_135,int,False,0.0,0.0,False,False
pkts_in_min_s_135,int,False,0.0,0.0,False,False
pkts_in_max_s_135,int,False,0.0,0.0,False,False
pkts_out_sum_s_135,int,True,0.0,3.0,True,False
pkts_out_min_s_135,int,True,0.0,2.0,True,False
pkts_out_max_s_135,int,True,0.0,2.0,True,False
duration_sum_s_135,int,True,0.0,4.0,True,False
duration_min_s_135,int,True,0.0,4.0,True,False
duration_max_s_135,int,True,0.0,4.0,True,False
tcp_sum_s_135,int,True,0.0,0.0,True,False
udp_sum_s_135,int,True,0.0,0.0,True,False
icmp_sum_s_135,int,True,0.0,0.0,True,False
distinct_external_ips_s_135,int,False,0.0,1.0,False,False
distinct_src_port_s_135,int,False,0.0,1.0,False,False
distinct_dst_port_s_135,int,False,0.0,1.0,False,False
bytes_in_sum_d_135,int,False,0.0,0.0,False,False
bytes_in_min_d_135,int,False,0.0,0.0,False,False
bytes_in_max_d_135,int,False,0.0,0.0,False,False
bytes_out_sum_d_135,int,True,0.0,0.0,True,False
bytes_out_min_d_135,int,True,0.0,0.0,True,False
bytes_out_max_d_135,int,True,0.0,0.0,True,False
pkts_in_sum_d_135,int,False,0.0,0.0,False,False
pkts_in_min_d_135,int,False,0.0,0.0,False,False
pkts_in_max_d_135,int,False,0.0,0.0,False,False
pkts_out_sum_d_135,int,True,0.0,0.0,True,False
pkts_out_min_d_135,int,True,0.0,0.0,True,False
pkts_out_max_d_135,int,True,0.0,0.0,True,False
